movie;type;word;minutes_in;%
Pulp Fiction;word;fucking;13.23;0.085909091
Pulp Fiction;word;fucking;13.33;0.086558442
Pulp Fiction;word;fucking;13.38;0.086883117
Pulp Fiction;word;fucking;13.43;0.087207792
Pulp Fiction;word;shit;13.47;0.087467532
Pulp Fiction;word;motherfucker;16.78;0.108961039
Pulp Fiction;word;shit;17.4;0.112987013
Pulp Fiction;word;goddamn;17.45;0.113311688
Pulp Fiction;word;ass;18.38;0.119350649
Pulp Fiction;word;shit;18.4;0.119480519
Pulp Fiction;word;fucked;18.62;0.120909091
Pulp Fiction;death;;18.7;0.121428571
Pulp Fiction;word;motherfucker;19.33;0.125519481
Pulp Fiction;word;motherfucker;19.57;0.127077922
Pulp Fiction;word;goddamn;19.58;0.127142857
Pulp Fiction;word;bitch;19.7;0.127922078
Pulp Fiction;word;bitch;19.82;0.128701299
Pulp Fiction;word;fuck;19.85;0.128896104
Pulp Fiction;word;bitch;19.85;0.128896104
Pulp Fiction;word;fuck;19.95;0.129545455
Pulp Fiction;word;fucked;20;0.12987013
Pulp Fiction;death;;20.95;0.136038961
Pulp Fiction;word;shit;21.32;0.138441558
Pulp Fiction;word;motherfucker;21.42;0.139090909
Pulp Fiction;word;motherfucking;21.82;0.141688312
Pulp Fiction;word;ass;21.88;0.142077922
Pulp Fiction;word;motherfuckers;22.03;0.143051948
Pulp Fiction;word;motherfuckers;22.08;0.143376623
Pulp Fiction;word;ass;22.1;0.143506494
Pulp Fiction;word;n-word ;23.07;0.149805195
Pulp Fiction;word;fucking;23.47;0.152402597
Pulp Fiction;word;fuck;23.52;0.152727273
Pulp Fiction;word;shit;23.7;0.153896104
Pulp Fiction;word;ass;24.07;0.156298701
Pulp Fiction;word;ass;24.23;0.157337662
Pulp Fiction;word;asses;24.4;0.158441558
Pulp Fiction;word;goddamn;24.45;0.158766234
Pulp Fiction;word;n-word ;24.45;0.158766234
Pulp Fiction;word;fucking;25.08;0.162857143
Pulp Fiction;word;goddamn;25.12;0.163116883
Pulp Fiction;word;fucking;25.17;0.163441558
Pulp Fiction;word;fucking;25.28;0.164155844
Pulp Fiction;word;shit;25.33;0.164480519
Pulp Fiction;word;fucking;25.37;0.16474026
Pulp Fiction;word;asshole;25.42;0.165064935
Pulp Fiction;word;n-word ;25.88;0.168051948
Pulp Fiction;word;ass;25.92;0.168311688
Pulp Fiction;word;shit;27.75;0.180194805
Pulp Fiction;word;fucking;27.78;0.18038961
Pulp Fiction;word;n-word ;27.88;0.181038961
Pulp Fiction;word;shit;27.98;0.181688312
Pulp Fiction;word;shit;27.98;0.181688312
Pulp Fiction;word;shit;28.03;0.182012987
Pulp Fiction;word;shit;28.08;0.182337662
Pulp Fiction;word;fucking;28.1;0.182467532
